age,sex,education,race,hispanic,enrolled,full_time,school_level,labor_status,weight,usual_hours,female,race_group,employed,college_enrolled
22,1,40,1,1,1,2,College,1,47838040,40,0,White,1,1
18,1,37,2,0,1,1,High school,7,98976057,NA,0,Black,0,0
24,1,44,4,0,0,-1,NA,1,58036330,40,0,Asian,1,0
23,2,39,1,1,0,-1,NA,1,59121407,20,1,White,1,0
20,2,40,1,0,0,-1,NA,1,55657677,40,1,White,1,0
19,2,40,1,0,1,1,College,1,63497222,30,1,White,1,1
19,1,35,1,1,0,-1,NA,3,55451517,NA,0,White,0,0
23,1,34,4,0,0,-1,NA,1,50931434,40,0,Asian,1,0
18,2,40,4,0,1,2,College,1,64528249,40,1,Asian,1,1
18,1,43,4,0,1,1,College,1,50748272,40,0,Asian,1,1
18,2,43,4,0,1,1,College,7,64528249,NA,1,Asian,0,1
19,1,39,1,1,1,1,College,1,64652448,NA,0,White,1,1
24,1,39,1,1,0,-1,NA,3,65788501,NA,0,White,0,0
18,1,37,1,1,0,-1,NA,4,68881195,NA,0,White,0,0
20,2,40,1,0,1,1,College,7,54496378,NA,1,White,0,1
24,2,35,1,1,0,-1,NA,1,57700065,32,1,White,1,0
18,2,40,1,0,1,2,College,1,60259896,NA,1,White,1,1
21,2,40,1,0,1,1,College,1,54476692,8,1,White,1,1
19,2,39,1,1,0,-1,NA,1,56966031,25,1,White,1,0
23,2,43,1,0,0,-1,NA,1,64433721,40,1,White,1,0
